what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384559959405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1384559961993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384559963101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1384559988501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384559988757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560017571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560019517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560028773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560035254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560071803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560075178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560098548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560115856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560136344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560139459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560158582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560163032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560166240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560168189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560171241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560173500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384560177375
